timestamp,trade_id,symbol,side,quantity,price,grid_level,order_id,pnl,fees,trade_type,notes
2025-09-25T08:39:47.076049,BUY_-1_1758764387,BTCUSDT,BUY,0.0001,112786.012475,-1,SIM_-1_112688,0.0,0.0,GRID,
2025-09-25T10:27:34.753821,BUY_-2_1758770854,BTCUSDT,BUY,0.0001,112389.87495,-2,SIM_-2_112373,0.0,0.0,GRID,
2025-09-25T10:30:31.634140,BUY_-5_1758771031,BTCUSDT,BUY,0.0001,111201.462375,-5,SIM_-5_106556,0.0,0.0,GRID,
2025-09-25T10:30:31.644535,BUY_-4_1758771031,BTCUSDT,BUY,0.0001,111597.59989999999,-4,SIM_-4_106556,0.0,0.0,GRID,
2025-09-25T10:30:31.653428,BUY_-3_1758771031,BTCUSDT,BUY,0.0001,111993.737425,-3,SIM_-3_106556,0.0,0.0,GRID,
2025-09-25T20:03:16.411750,BUY_-1_1758805396,BTCUSDT,BUY,0.013,111060.13426500002,-1,2888572,0.0,0.0,GRID,
2025-09-26T00:10:18.674032,BUY_-2_1758820218,BTCUSDT,BUY,0.013,110670.05853000001,-2,2921734,0.0,0.0,GRID,
2025-09-26T00:19:25.596692,BUY_-3_1758820765,BTCUSDT,BUY,0.013,110279.98279500002,-3,2923391,0.0,0.0,GRID,
2025-09-26T00:31:34.822426,BUY_-4_1758821494,BTCUSDT,BUY,0.013,109889.90706,-4,2925718,0.0,0.0,GRID,
2025-09-26T00:41:42.592922,BUY_-5_1758822102,BTCUSDT,BUY,0.013,109499.831325,-5,2927810,0.0,0.0,GRID,
